source_url	parsed_url
https://1.1.1.1/	https://1.1.1.1/site-0c873ca67307b97adc2f.css
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://blog.cloudflare.com/1111-warp-better-vpn/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20in%20line%20to%20get%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20will%20make%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20to%20reserve%20a%20place%20in%20line%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://1.1.1.1
https://www.bloomberg.com/markets/economics	https://assets.bwbx.io/font-service/css/BWHaasGrotesk-55Roman-Web,BWHaasGrotesk-75Bold-Web,BW%20Haas%20Text%20Mono%20A-55%20Roman/font-face.css
https://www.bloomberg.com/markets/economics	https://www.bloomberg.com/notices/tos
https://www.bloomberg.com/markets/economics	https://www.bloomberg.com/feedback
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/qanon-conspiracy-theory/google-selling-and-profiting-qanon-apps-despite-prohibiting-apps-content
https://www.mediamatters.org/	https://www.mediamatters.org/rush-limbaugh/rush-limbaughs-bigotry-set-stage-trumps-takeover-republican-party
https://www.mediamatters.org/	https://www.mediamatters.org/trump-impeachment-inquiry/ukraine-misinformers-named-leaked-fox-memo-have-made-hundreds-appearances
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/rush-limbaugh/trump-gives-rush-limbaugh-medal-freedom-career-hate
https://www.mediamatters.org/	https://www.mediamatters.org/mike-huckabee/foxs-mike-huckabee-suggests-all-2020-democratic-presidential-candidates-tacitly
https://www.mediamatters.org/	https://www.mediamatters.org/fox-friends/fox-friends-guest-trump-administration-has-been-three-greatest-years-maybe-jesus-walked
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/latino-parent-who-went-viral-after-being-told-stay-mexico-describes-subsequent-online
https://www.mediamatters.org/	https://mediamattersforamerica.tumblr.com/
https://www.mediamatters.org/	https://www.mediamatters.org/gloria-borger/cnns-gloria-borger-says-shes-still-holding-out-hope-donald-trump-will-work-democrats
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/trump-using-global-entry-political-retaliation-some-media-outlets-arent-calling-out
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-says-immigration-bill-would-make-america-borderless-rest-stop-worlds
https://www.mediamatters.org/	https://www.mediamatters.org/hugh-hewitt/hugh-hewitt-likens-pelosi-tearing-trumps-speech-democrats-tearing-constitution
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-my-show-doing-well-because-we-tell-truth
https://www.mediamatters.org/	https://www.mediamatters.org/fox-friends/fox-news-doctor-blames-obamacare-americans-dying-preventable-illnesses
https://www.mediamatters.org/	https://www.mediamatters.org/peter-schweizer/fabricated-and-wildly-inaccurate-peter-schweizers-new-book-gets-bankruptcy-law
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/trump-administration-uses-tucker-carlsons-show-announce-immigration-retribution
